BeaconID,Fullmessage,Latitude(Degrees),Longitude(Degrees),Altitude(m),Frequency(MHz),RepRate(sec),StartTime(sec),Name
3ADEA2223F81FE0,FFFED09D6F51110618366FE6AB34B92D5273,24.430961,54.448097,5,43000,50,3,AbuDhabi
3EFC000002FFBFF,FFFE2F9F7E0000017FDFFE762D3483E0FCCA,-29.0465,115.3425,281,50000,50,30,Mingenew
47DFFFFC3F81FE0,FFFED0A3EFFFFE05306AAB70D0B68327F33C,20.800803,106.710344,50,34000,50,38,Haiphong
53FFFFFF3F81FE0,FFFED0A9FFFFFF818C01310E56F68F5BF355,6.20751702,1.2232215,89.5,52000,150,28,Lome
998349EA630F100,FFFED0CCC1A4F531878803E1870E5A3EC326,36.99658,-25.13622,348.866,34000,50,31,SantaMaria/EU
9A2299AE630F010,FFFED0CD114CD731878084E7974E5A5EC899,34.86539,33.38375,322.845,34000,50,54,Larnaca/EU
9A2299AE92EA730,FFFED0CD114CD749753983904E0E5A5EC899,34.86539,33.38375,322.845,52000,150,8,Larnaca-Cal/EU
9C027D2D630F0A0,FFFED0CE013E96B18785040BA88E5A4EC14F,27.76151,-15.63427,180.561,34000,50,43,Maspalomas/EU
9C027D2D92EA730,FFFED0CE013E96C9753985E52CCE5A4EC14F,27.76151,-15.63427,180.561,52000,150,8,Maspalomas-Cal/EU
9C6000000000001,FFFE2FCE3000000000000DBD0E0000000000,43.5605,1.4808,214.27,22000,30,0,Toulouse1
9C621A74630F1D0,FFFED0CE310D3A31878E85A4E00E5A1EC5B3,43.56037,1.48026,209.358,34000,50,7,Toulouse/EU
9C821A7492EA500,FFFED0CE410D3A4975280088A54E5A1EC5B3,43.548502,1.3941492,155,52000,150,48,Toulouse3
9C821A7492EA730,FFFED0CE410D3A497539805A100E5A1EC5B3,43.5605,1.4808,214.27,34000,150,9,Toulouse2
A0434CEB630F190,FFFED0D021A675B1878C80CA3BCE5A2ECAF0,78.23074,15.37046,486.731,34000,50,19,Spitsbergen/EU
A0434CEB92EA730,FFFED0D021A675C9753982E96D0E5A2ECAF0,78.23074,15.37046,486.731,52000,150,8,Spitsbergen-Cal/EU
A1E30D309B39240,FFFED0D0F186984D9C9207707DCF6B2FD27F,40.14065278,32.990306,936,46000,50,35,Ankara
A782E62AB2FC2A0,FFFE2FD3C17315597E15030B554CA0ED36B6,53.67493,-113.31485,661.4,52000,150,4,Riverbend
A782E62B8E3D300,FFFE2FD3C17315C71E98069B4F8CA06BA959,53.31342,-60.4671,56.08,52000,150,4,GooseBay
A79EEE26E32E190,FFFE2F53CF771371970C83600E4000000000,45.3291,-75.6745,120,21990,50,47,Ottawa
